0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
18.9533300795,18.9782485283,18.8571463679,18.9823588012,18.8745993774,18.8429117701,18.92199532,18.9639989047,18.9304721136,18.8554862169,18.9784885306,18.8657035091,18.9884393977,19.0073193703,19.0066360627,18.8967802624,18.9731064308,18.9754069909,18.9371249859,18.9748542147,18.8782713808,18.9885724968,18.9823240854,18.9317778185,18.9583188083,18.8927793245,18.9177098964,19.0050539782,18.9036551773,18.9714675036
18.9503243677,18.9752428156,18.8571457087,18.9793530884,18.8745987175,18.8429111114,18.9219946585,18.9609931925,18.9304714518,18.8554855577,18.9754828178,18.8657028496,18.9854336847,19.0043136565,19.003630349,18.8967796018,18.9701007183,18.9724012783,18.9371243239,18.9718485021,18.8782707208,18.9855667837,18.9793183725,18.9317771567,18.9553130963,18.892778664,18.917709235,19.0020482645,18.9036545164,18.9684617911
18.9474722142,18.9723906613,18.8571450495,18.9765009339,18.8745980577,18.8429104527,18.921993997,18.9581410387,18.93047079,18.8554848985,18.9726306635,18.86570219,18.98258153,19.0014615012,19.0007781937,18.8967789412,18.9672485641,18.969549124,18.9371236619,18.9689963479,18.8782700609,18.982714629,18.9764662181,18.9317764949,18.9524609427,18.8927780036,18.9177085737,18.9991961093,18.9036538556,18.9656096371
18.9447183535,18.9696367997,18.8571443902,18.9737470722,18.8745973979,18.842909794,18.9219933355,18.9553871776,18.9304701282,18.8554842394,18.9698768019,18.8657015305,18.979827668,18.9987076386,18.9980243311,18.8967782806,18.9644947027,18.9667952625,18.9357568391,18.9662424865,18.8782694009,18.979960767,18.9737123563,18.931775833,18.9497070818,18.8927773431,18.9177079124,18.9964422467,18.9036531948,18.9628557757
18.9420266428,18.9669450882,18.857143731,18.9710553605,18.8745967381,18.8429091353,18.921992674,18.9526954666,18.9304694665,18.8554835802,18.9671850904,18.865700871,18.9771359561,18.996015926,18.9953326186,18.89677762,18.9618029913,18.9641035511,18.9330651288,18.963550775,18.8782687409,18.9772690551,18.9710206447,18.9317751712,18.947015371,18.8927766827,18.9177072511,18.9937505343,18.9036525339,18.9601640644
18.9394168751,18.9643353195,18.8571430718,18.9684455917,18.8745960782,18.8429084765,18.9219920126,18.9500856984,18.9304688047,18.8554829211,18.9645753217,18.8657002115,18.9745261871,18.9934061564,18.992722849,18.8967769594,18.9591932229,18.9614937826,18.9304553613,18.9609410065,18.878268081,18.9746592861,18.9684108759,18.9317745094,18.944405603,18.8927760222,18.9177065897,18.9911407647,18.9036518731,18.957554296
18.9368898048,18.9618082484,18.8571424126,18.9659185204,18.8745954184,18.8429078178,18.9219913511,18.9475586278,18.9304681429,18.8554822619,18.9620482506,18.865699552,18.9719991157,18.9908790842,18.9901957768,18.8967762988,18.9566661519,18.9589667115,18.9279282914,18.9584139355,18.878267421,18.9721322147,18.9658838046,18.9317738476,18.9418785326,18.8927753617,18.9177059284,18.9886136926,18.9036512123,18.9550272251
18.9345014604,18.9594199031,18.8571417534,18.963530175,18.8745947586,18.8429071591,18.9219906896,18.945170283,18.9304674811,18.8554816027,18.9596599053,18.8656988925,18.9696107701,18.988490738,18.9878074306,18.8967756382,18.9542778069,18.9565783664,18.9255399473,18.9560255904,18.8782667611,18.969743869,18.9634954592,18.9317731857,18.939490188,18.8927747013,18.9177052671,18.9862253465,18.9036505514,18.9526388801
18.9322896004,18.9572080423,18.8571410942,18.9613183141,18.8745940988,18.8429065004,18.9219900281,18.9429584227,18.9304668193,18.8554809436,18.9574480445,18.865698233,18.9673989089,18.9862788761,18.9855955688,18.8967749776,18.9520659462,18.9543665056,18.9233280876,18.9538137297,18.8782661011,18.9675320078,18.9612835982,18.9317725239,18.9372783279,18.8927740408,18.9177046057,18.9840134847,18.9036498906,18.9504270195
18.9302381837,18.9551566247,18.857140435,18.9592668963,18.8745934389,18.8429058417,18.9219893666,18.9409070056,18.9304661576,18.8554802844,18.9553966268,18.8656975735,18.9653474909,18.9842274575,18.9835441501,18.896774317,18.9500145288,18.9523150881,18.9212766712,18.9517623121,18.8782654412,18.9654805898,18.9592321805,18.9317718621,18.935226911,18.8927733804,18.9177039444,18.9819620661,18.9036492297,18.9483756021
18.9283492551,18.9532676952,18.8571397758,18.9573779667,18.8745927791,18.842905183,18.9219887052,18.9390180766,18.9304654958,18.8554796253,18.9535076974,18.8656969139,18.9634585611,18.982338527,18.9816552197,18.8967736564,18.9481255995,18.9504261588,18.9193877429,18.9498733828,18.8782647812,18.96359166,18.9573432509,18.9317712003,18.9333379822,18.8927727199,18.9177032831,18.9800731357,18.9036485689,18.9464866729
18.9266250415,18.9515434807,18.8571391166,18.9556537521,18.8745921193,18.8429045243,18.9219880437,18.9372938626,18.930464834,18.8554789661,18.9517834829,18.8656962544,18.9617343462,18.9806143115,18.9799310042,18.8967729958,18.9464013852,18.9487019444,18.9176635296,18.9481491685,18.8782641213,18.9618674452,18.9556190362,18.9317705385,18.9316137684,18.8927720594,18.9177026218,18.9783489203,18.9036479081,18.9447624586
18.9250676229,18.9499860613,18.8571384574,18.9540963325,18.8745914595,18.8429038655,18.9219873822,18.9357364437,18.9304641723,18.855478307,18.9502260634,18.8656955949,18.9601769264,18.979056891,18.9783735838,18.8967723353,18.9448439659,18.947144525,18.9161061114,18.9465917491,18.8782634614,18.9603100254,18.9540616167,18.9317698767,18.9300563497,18.892771399,18.9177019604,18.9767914999,18.9036472472,18.9432050394
18.9236212967,18.9485397341,18.8571377982,18.9526500052,18.8745907997,18.8429032068,18.9219867207,18.934290117,18.9304635105,18.8554776478,18.9487797363,18.8656949354,18.9587305989,18.9776105629,18.9769272557,18.8967716747,18.943397639,18.945698198,18.9146597854,18.9451454221,18.8782628014,18.9588636979,18.9526152894,18.9310599729,18.9286100232,18.8927707386,18.9177012991,18.9753451718,18.9036465864,18.9417587125
18.9222496429,18.9471680795,18.857137139,18.9512783504,18.8745901399,18.8429025481,18.9219860593,18.9329184629,18.9304628487,18.8554769887,18.9474080816,18.8656942759,18.9573589439,18.9762389072,18.9755556,18.8967710141,18.9420259845,18.9443265435,18.913288132,18.9437737676,18.8782621415,18.9574920429,18.9512436346,18.9296883189,18.9272383693,18.8927700781,18.9177006378,18.9739735163,18.9036459256,18.9403870581
18.9209723458,18.9458907816,18.8571364798,18.9500010523,18.8745894801,18.8429018894,18.9219853978,18.9316411655,18.930462187,18.8554763295,18.9461307837,18.8656936164,18.9560816457,18.9749616083,18.9742783011,18.8967703535,18.9407486868,18.9430492456,18.9120108352,18.9424964698,18.8782614815,18.9562147446,18.9499663365,18.9284110216,18.9259610721,18.8927694177,18.9176999765,18.9726962174,18.9036452648,18.9391097604
18.9197899924,18.9447084273,18.8571358206,18.9488186979,18.8745888203,18.8429012307,18.9219847364,18.9304588117,18.9304615252,18.8554756704,18.9449484294,18.865692957,18.954899291,18.973779253,18.9730959458,18.8967696929,18.9395663326,18.9418668914,18.9108284821,18.9413141156,18.8782608216,18.95503239,18.9487839821,18.9272286679,18.9247787185,18.8927687572,18.9176993152,18.9715138622,18.9036446039,18.9379274064
18.9187046631,18.9436230971,18.8571351614,18.9477333675,18.8745881604,18.842900572,18.9219840749,18.929373482,18.9304608635,18.8554750113,18.9438630992,18.8656922975,18.9538139604,18.9726939217,18.9720106146,18.8967690323,18.9384810026,18.9407815613,18.9097431531,18.9402287855,18.8782601617,18.9539470594,18.9476986517,18.9261433383,18.9236933889,18.8927680968,18.9176986539,18.970428531,18.9036439431,18.9368420764
18.9177180342,18.9426364673,18.8571345022,18.9467467377,18.8745875006,18.8428999134,18.9219834134,18.9283868527,18.9304602017,18.8554743521,18.9428764694,18.865691638,18.9528273303,18.971707291,18.9710239839,18.8967683718,18.937494373,18.9397949317,18.9087565245,18.9392421559,18.8782595017,18.9529604293,18.9467120219,18.9251567091,18.9227067599,18.8927674363,18.9176979926,18.9694419003,18.9036432823,18.9358554469
18.9168316793,18.9417501116,18.857133843,18.9458603818,18.8745868408,18.8428992547,18.921982752,18.9275004975,18.93045954,18.855473693,18.9419901137,18.8656909785,18.9519409742,18.9708209342,18.9701376271,18.8967677112,18.9366080175,18.938908576,18.90787017,18.9383558003,18.8782588418,18.9520740732,18.945825666,18.924270354,18.9218204049,18.8927667759,18.9176973312,18.9685555437,18.9036426215,18.9349690914
18.9160470417,18.9409654731,18.8571331838,18.9450757432,18.874586181,18.842898596,18.9219820905,18.9267158595,18.9304588782,18.8554730339,18.9412054752,18.865690319,18.9511563354,18.9700362947,18.9693529877,18.8967670506,18.9358233792,18.9381239377,18.9070855327,18.9375711619,18.8782581819,18.9512894343,18.9450410273,18.9234857161,18.9210357671,18.8927661155,18.9176966699,18.9677709042,18.9036419607,18.9341844531
