0,1,2,3,4,5,6,7,8,9,10,11,12,13
-923.767282832,900.101822113,-0.598491415279,0.0683998371056,600.240038495,592.4141369,-83.980822078,-213.772093972,297.752723269,-1.50906144036,-1.53763688145,0.529169262532,1.39181666541,-1.92099144863
-923.757283816,900.103731365,-0.589688170551,0.0833429174045,600.334803634,592.328225087,-83.1103723673,-214.291472377,297.401598575,-1.50934043933,-1.5368411228,0.51677399417,1.40121739576,-1.91799685475
-923.748481577,900.104727725,-0.583408882516,0.100424611364,600.6791558,592.529630826,-78.7704797103,-218.272375132,297.042634282,-1.51567757103,-1.52942567999,0.504898103467,1.40996856776,-1.9148718568
-923.740867074,900.104810648,-0.579698299858,0.119588725978,600.923115476,592.625788912,-77.8995652016,-218.781487092,296.680832968,-1.51981616917,-1.52427591349,0.492663196545,1.41901567482,-1.91168400103
-923.728455327,900.105437984,-0.577585188378,0.13512481794,600.851314822,592.652887069,-73.1722662176,-219.284825566,292.456870993,-1.51694193082,-1.51916905019,0.481027758586,1.42812903614,-1.90916162019
-923.711367214,900.106597267,-0.577136093866,0.14710814834,600.864528771,592.655193755,-72.2996474214,-219.785557714,292.084984444,-1.5163617472,-1.51407464391,0.469006863239,1.43729727898,-1.90630891165
-923.691820264,900.108277302,-0.584592659579,0.155613862618,600.869744141,592.711604525,-64.0272405957,-224.041830883,288.068850145,-1.51554491015,-1.50900329669,0.458319735154,1.44575052122,-1.90407449335
-923.669878015,900.110466748,-0.600104867823,0.160717352017,600.933865037,592.821926217,-63.1584854764,-224.507194332,287.665459146,-1.51476692066,-1.50399182414,0.446961685638,1.45453359065,-1.90149945746
-923.64805893,900.11315412,-0.612763326538,0.162494251042,601.022304975,593.030075753,-62.2914030671,-225.016524778,287.307708605,-1.51394495643,-1.49909158381,0.435484202097,1.46335970106,-1.89884802863
-923.626395116,900.116327803,-0.622524931082,0.161020427691,601.064919337,593.28526524,-61.4223739287,-225.497197098,286.919349249,-1.5130734459,-1.49435160242,0.423847585117,1.47224079414,-1.8960924489
-923.604831535,900.119976056,-0.629322528236,0.156371980487,601.08477859,593.505928003,-60.5527687469,-225.973365056,286.525914152,-1.51217595181,-1.48977675286,0.41205218922,1.4811773536,-1.89323355659
-923.583356392,900.124087018,-0.633097343599,0.148625227621,601.109918347,593.702557423,-59.6824066586,-226.445473103,286.127657484,-1.51125830265,-1.48534819378,0.400098284712,1.49016835236,-1.89027059492
-923.563814436,900.123081207,-0.639627055485,0.139769665417,601.440006523,593.621055638,-55.3425335166,-230.381251475,285.723563715,-1.51641828872,-1.48731716866,0.388664991405,1.49849776346,-1.88716643341
-923.546187759,900.116842093,-0.648955699782,0.129864759401,601.633127816,593.651578014,-54.47130962,-230.845084745,285.3161726,-1.51940018936,-1.48719297889,0.376873091847,1.50711630172,-1.88399301613
-923.534483562,900.109881502,-0.656448799968,0.122447963312,601.55303751,593.412816217,-53.5996467615,-234.887207447,288.486633104,-1.51587273385,-1.49325003236,0.364884351352,1.5150472686,-1.8799351865
-923.528557238,900.102201758,-0.662029084282,0.117463689303,601.509993386,593.210147432,-52.7274058082,-235.337893578,288.065076701,-1.51450203157,-1.49713510427,0.352777045333,1.52327409368,-1.8760546495
-923.522382466,900.093959626,-0.664460442165,0.115004578573,601.431798912,593.038012462,-51.8546692329,-235.783754079,287.638201839,-1.51317155959,-1.50099939939,0.340512466393,1.53155122855,-1.87206714933
-923.515947722,900.085187002,-0.663681844214,0.115021035212,601.333961105,592.891378615,-50.981606065,-236.225241022,287.206624123,-1.51189954421,-1.50471872452,0.328090932353,1.53987751153,-1.86797184216
-923.509243073,900.075806422,-0.659633066506,0.117679647882,601.212844457,593.050291373,-50.1079831228,-236.662812535,286.770573782,-1.51070023408,-1.50181166237,0.315512760025,1.548251866,-1.86376796814
-923.502258712,900.07080631,-0.652254268361,0.126480602144,601.031731214,593.428354161,-49.2340690231,-237.095981773,286.329827571,-1.50960130434,-1.49454609005,0.302778274523,1.55667321346,-1.85945477393
-923.497275448,900.070489233,-0.647649006947,0.140898454809,600.608131523,593.463659956,-44.6351609163,-241.248855375,285.883795617,-1.502050598,-1.49588177466,0.290621009042,1.56437053976,-1.85499453875
-923.500255056,900.0699965,-0.64675145194,0.157185992208,600.639354371,593.603492681,-43.7630752149,-245.291206251,289.054060931,-1.50330622272,-1.49520473819,0.278050144665,1.57162120829,-1.84967428683
-923.508752787,900.070048158,-0.643418346819,0.169865886412,600.554350167,593.741167943,-42.890456387,-245.711553915,288.601785596,-1.50243891834,-1.49462594482,0.265361508611,1.57916510008,-1.84452948647
-923.518870661,900.070631614,-0.642367430047,0.179013656407,600.720407058,593.86768034,-38.548801238,-249.594240204,288.142821011,-1.5077887203,-1.49414122191,0.253197885708,1.58603453338,-1.83923501741
