0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
20.6183311208,20.4304105743,20.4315258041,20.4774929678,20.6287387804,20.6546236088,20.3791598671,20.6186792279,20.6346214538,20.4849514494,20.4849514494,20.4387470742,20.6665163834,20.6525060296,20.4690797897,20.4885612426,20.3330860471,20.6647639242,20.4794417446,20.6210493179,20.5011229356,20.6498455003,20.4491475849,20.473548881,20.6480327544,20.4966017417,20.6509619488,20.4846136879,20.6560193699,20.3314778214
20.6054755571,20.4304098599,20.4315250897,20.4774922517,20.6158832164,20.6417680439,20.3791591545,20.6058236643,20.6217658896,20.4849507332,20.4849507332,20.4387463596,20.653660818,20.6396504648,20.469079074,20.4885605262,20.3330853361,20.6519083589,20.4794410285,20.6081937541,20.5011222187,20.6369899356,20.4491468699,20.4735481652,20.6351771898,20.496601025,20.6381063841,20.4846129717,20.6431638049,20.3314771105
20.5925326409,20.4304091456,20.4315243753,20.4774915357,20.6029402998,20.6288251264,20.3791584419,20.5928807481,20.6088229728,20.4849500169,20.4849500169,20.4387456449,20.6407179001,20.6267075474,20.4690783582,20.4885598097,20.3330846251,20.6389654411,20.4794403124,20.5952508378,20.5011215018,20.6240470183,20.4491461548,20.4735474492,20.6222342725,20.4966003083,20.6251634667,20.4846122554,20.6302208874,20.3314763996
20.5794524001,20.4304084312,20.4315236609,20.4774908197,20.5898600587,20.6157448843,20.3791577293,20.5798005072,20.5957427314,20.4849493007,20.4849493007,20.4387449302,20.6276376576,20.6136273054,20.4690776425,20.4885590933,20.3330839141,20.6258851987,20.4794395963,20.5821705969,20.501120785,20.6109667763,20.4491454398,20.4735467333,20.6091540307,20.4965995916,20.6120832248,20.4846115391,20.6171406452,20.3314756887
20.5662015738,20.4304077168,20.4315229465,20.4774901037,20.576609232,20.6024940567,20.3791570168,20.5665496809,20.5824919045,20.4849485844,20.4849485844,20.4387442155,20.6143868296,20.6003764778,20.4690769268,20.4885583769,20.3330832032,20.6126343707,20.4794388803,20.5689197705,20.5011200681,20.5977159489,20.4491447248,20.4735460175,20.5959032033,20.496598875,20.5988323973,20.4846108229,20.6038898176,20.3314749778
20.5527992875,20.4304070025,20.431522232,20.4774893876,20.5632069453,20.5890917691,20.3791563042,20.5531473946,20.5690896177,20.4849478681,20.4849478681,20.4387435009,20.6009845416,20.5869741904,20.4690762111,20.4885576605,20.3330824922,20.5992320828,20.4794381642,20.5555174841,20.5011193513,20.5843136615,20.4491440097,20.4735453016,20.582500916,20.4965981583,20.5854301099,20.4846101066,20.59048753,20.3314742669
20.5392468267,20.430406288,20.4315215176,20.4774886715,20.5496544842,20.5755393071,20.3791555916,20.5395949338,20.5555371563,20.4849471518,20.4849471518,20.4387427862,20.5874320792,20.5734217284,20.4690754953,20.488556944,20.3330817812,20.5856796204,20.4794374481,20.5419650232,20.5011186344,20.5707611996,20.4491432946,20.4735445857,20.5689484541,20.4965974416,20.5718776479,20.4846093902,20.5769350679,20.3314735559
20.525609211,20.4304055736,20.4315208032,20.4774879555,20.536016868,20.56190169,20.379154879,20.532780527,20.54189954,20.4849464356,20.4849464356,20.4387420715,20.5737944617,20.5597841114,20.4690747796,20.4885562276,20.3330810702,20.572042003,20.479436732,20.5283274074,20.5011179175,20.5571235828,20.4491425796,20.4735438698,20.5553108373,20.496596725,20.558240031,20.484608674,20.5632974508,20.3314728449
20.511930063,20.4304048593,20.4315200888,20.4774872395,20.5223377198,20.5482225409,20.3791541664,20.5327798091,20.5282203915,20.4849457193,20.4849457193,20.4387413569,20.5601153121,20.5461049623,20.4690740639,20.4885555113,20.3330803593,20.5583628535,20.479436016,20.5146482593,20.5011172007,20.5434444337,20.4491418646,20.473543154,20.5416316884,20.4965960083,20.544560882,20.4846079577,20.5496183016,20.3314721341
20.4981868588,20.4304041449,20.4315193744,20.4774865235,20.5085945152,20.5344793354,20.3791534538,20.5327790911,20.5144771867,20.4849450031,20.4849450031,20.4387406422,20.5463721062,20.5323617569,20.4690733481,20.4885547949,20.3330796483,20.5446196476,20.4794352999,20.5009050551,20.5011164839,20.5297012284,20.4491411496,20.4735424381,20.5278884831,20.4965952916,20.5308176766,20.4846072415,20.5358750961,20.3314714231
20.4843795517,20.4304034305,20.4315186599,20.4774858075,20.4947872076,20.5206720269,20.3791527412,20.5327783731,20.500669879,20.4849442869,20.4849442869,20.4387399276,20.5325647974,20.5185544485,20.4690726324,20.4885540785,20.3330789374,20.5308123388,20.4794345838,20.4870977478,20.501115767,20.5158939202,20.4491404345,20.4735417222,20.5140811749,20.4965945749,20.5170103683,20.4846065253,20.5220677875,20.3314707123
20.470507989,20.4304027162,20.4315179455,20.4774850916,20.4809156446,20.506800463,20.3791520287,20.5327776552,20.4867983157,20.4849435706,20.4849435706,20.438739213,20.518693233,20.5046828847,20.4690719167,20.4885533622,20.3330782264,20.5169407745,20.4794338678,20.473226185,20.5011150502,20.5020223564,20.4491397195,20.4735410064,20.5002096112,20.4965938583,20.5031388045,20.484605809,20.5081962236,20.3314700014
20.4565718782,20.4304020018,20.4315172311,20.4774843756,20.4669795335,20.492864351,20.3791513161,20.5327769372,20.4728622044,20.4849428543,20.4849428543,20.4387384983,20.5047571206,20.4907467727,20.4690712009,20.4885526458,20.3330775154,20.5030046621,20.4794331517,20.4592900741,20.5011143333,20.4880862445,20.4491390045,20.4735402905,20.4862734994,20.4965931415,20.4892026926,20.4846050927,20.4942601115,20.3314692905
20.4425209407,20.4304012874,20.4315165167,20.4774836595,20.4529285956,20.4788134122,20.3791506036,20.5327762193,20.4588112663,20.4849421381,20.4849421381,20.4387377836,20.4907061814,20.476695834,20.4690704853,20.4885519294,20.3330768045,20.488953723,20.4794324356,20.4452391366,20.5011136165,20.4740353059,20.4491382895,20.4735395746,20.4722225609,20.4965924249,20.475151754,20.4846043765,20.4802091727,20.3314685796
20.4283217524,20.430400573,20.4315158022,20.4774829435,20.4387294069,20.4646142226,20.379149891,20.5327755013,20.4446120774,20.4849414217,20.4849414217,20.438737069,20.4765069913,20.4624966445,20.4690697695,20.4885512129,20.3330760934,20.474754533,20.4794317195,20.4310399481,20.5011128997,20.4598361165,20.4491375745,20.4735388587,20.4580233715,20.4965917081,20.4609525644,20.4846036601,20.466009983,20.3314678687
20.4139931327,20.4303998586,20.4315150878,20.4774822274,20.4244007869,20.4502856016,20.3791491784,20.5327747834,20.4302834571,20.4849407054,20.4849407054,20.4387363543,20.46217837,20.4481680236,20.4690690537,20.4885504965,20.3330753824,20.4604259117,20.4794310034,20.4167113283,20.5011121828,20.4455074957,20.4491368595,20.4735381428,20.4436947508,20.4965909914,20.4466239436,20.4846029439,20.451681362,20.3314671577
20.3995361064,20.4303991442,20.4315143733,20.4774815114,20.4099437602,20.4358285741,20.3791484658,20.5327740655,20.4158264303,20.4849399891,20.4849399891,20.4387356396,20.447721342,20.4337109961,20.4690683379,20.4885497801,20.3330746715,20.4459688838,20.4794302873,20.4022543019,20.5011114659,20.4310504683,20.4491361444,20.4735374269,20.4292377234,20.4965902747,20.4321669162,20.4846022276,20.4372243344,20.3314664468
20.3849492919,20.4303984298,20.4315136589,20.4774807954,20.3953569454,20.4212417583,20.3791477532,20.5327733475,20.4012396153,20.4849392729,20.4849392729,20.4387349249,20.4331345259,20.4191241805,20.4690676222,20.4885490637,20.3330739605,20.4313820678,20.4794295713,20.3876674874,20.501110749,20.4164636527,20.4491354293,20.473536711,20.4146509079,20.496589558,20.4175801006,20.4846015113,20.4226375186,20.3314657359
20.370232068,20.4303977155,20.4315129444,20.4774800793,20.3806397211,20.4065245332,20.3791470406,20.5327726295,20.3865223908,20.4849385566,20.4849385566,20.4387342103,20.4184173003,20.4044069554,20.4690669065,20.4885483472,20.3330732495,20.4166648422,20.4794288551,20.3729502634,20.5011100322,20.4017464277,20.4491347143,20.4735359951,20.399933683,20.4965888414,20.4028628756,20.4846007951,20.4079202934,20.331465025
20.3553837265,20.4303970012,20.43151223,20.4774793632,20.3657913792,20.3916761904,20.3791463279,20.5327719116,20.3716740487,20.4849378404,20.4849378404,20.4387334956,20.4035689571,20.3895586126,20.4690661907,20.4885476308,20.3330725386,20.4018164991,20.4794281391,20.3581019218,20.5011093154,20.3868980851,20.4491339993,20.4735352793,20.3850853404,20.4965881247,20.3880145329,20.4846000788,20.3930719505,20.3314643141
20.3404034445,20.4303962868,20.4315115156,20.4774786472,20.3508110968,20.3766959071,20.3791456152,20.5327711936,20.3566937661,20.484937124,20.484937124,20.4387327809,20.3885886733,20.3745783294,20.4690654749,20.4885469144,20.3330718275,20.3868362154,20.4794274229,20.3431216396,20.5011085985,20.371917802,20.4491332841,20.4735345633,20.3701050574,20.496587408,20.3730342497,20.4845993624,20.3780916672,20.3314636032
20.3328798504,20.4303955724,20.4315108012,20.4774779311,20.3357608253,20.3616456346,20.3791449027,20.5327704757,20.3416434943,20.4849364077,20.4849364077,20.4387320663,20.3735384005,20.359528057,20.4690647592,20.488546198,20.3330711166,20.3717859426,20.4794267069,20.3280713684,20.5011078816,20.3568675297,20.4491325692,20.4735338475,20.3550547851,20.4965866914,20.3579839774,20.4845986461,20.3630413947,20.3314628922
20.3328791395,20.4303948579,20.4315100868,20.4774772151,20.320683883,20.3465686914,20.3791441901,20.5327697577,20.3265665518,20.4849356914,20.4849356914,20.4387313516,20.3584614569,20.3444511139,20.4690640435,20.4885454815,20.3330704056,20.3567089991,20.4794259907,20.3129944264,20.5011071647,20.3417905867,20.449131854,20.4735331316,20.3399778422,20.4965859746,20.3429070343,20.4845979298,20.3479644515,20.3314621813
20.3328784285,20.4303941435,20.4315093723,20.4774764991,20.3055598232,20.3314446307,20.3791434775,20.5327690397,20.3114424918,20.4849349752,20.4849349752,20.4387306369,20.3433373957,20.3293270533,20.4690633278,20.4885447651,20.3330696946,20.341584938,20.4794252747,20.2978703668,20.5011064479,20.3266665261,20.449131139,20.4735324157,20.3248537817,20.4965852579,20.3277829737,20.4845972136,20.3328403907,20.3314614703
20.3328777175,20.4303934292,20.4315086579,20.4774757831,20.2903367766,20.3162215832,20.3791427649,20.5327683217,20.296219445,20.4849342589,20.4849342589,20.4387299222,20.3281143478,20.3141040059,20.469062612,20.4885440486,20.3330689837,20.3263618902,20.4794245586,20.2826473205,20.501105731,20.3114434788,20.449130424,20.4735316998,20.3096307344,20.4965845412,20.3125599264,20.4845964973,20.3176173432,20.3314607593
